user	home continent	gender	cluster
1	2	0	8
2	3	0	4
3	1	1	6
4	2	0	1
5	2	1	3
6	2	0	9
7	2	1	4
8	5	0	6
9	1	0	1
10	2	0	4
11	1	0	1
12	2	0	4
13	1	0	9
14	2	0	6
15	1	0	9
16	2	1	8
17	2	1	7
18	2	0	4
19	2	0	3
20	2	1	2
21	2	1	3
22	2	1	1
23	2	0	2
24	2	1	8
25	2	0	1
26	2	0	3
27	1	0	8
28	4	0	3
29	1	0	6
30	3	0	1
31	2	1	6
32	2	1	8
33	7	0	4
34	2	1	6
35	2	0	1
36	2	1	4
37	4	0	1
38	5	1	6
39	2	0	8
40	1	1	1
41	2	0	9
42	5	0	10
43	2	1	1
44	2	1	1
45	1	1	6
46	2	0	1
47	1	1	6
48	2	1	5
49	2	0	5
50	2	0	1
51	2	1	6
52	2	1	1
53	2	1	3
54	2	0	1
55	2	0	7
56	1	1	3
57	2	0	5
58	2	1	1
59	1	0	8
60	2	0	3
61	2	0	9
62	2	1	9
63	2	0	2
64	2	0	1
65	2	1	4
66	2	1	7
67	2	1	6
68	2	1	6
69	2	1	9
70	2	1	9
71	2	0	4
72	2	0	8
73	2	1	1
74	2	0	3
75	2	1	10
76	2	1	9
77	2	1	3
78	1	0	4
79	2	1	6
80	2	1	8
81	2	0	4
82	1	1	1
83	1	1	6
84	1	1	3
85	2	0	10
86	2	0	1
87	2	0	3
88	2	1	9
89	2	1	8
90	5	1	9
91	2	1	9
92	1	1	8
93	5	1	8
94	2	0	1
95	2	0	6
96	2	0	6
97	1	1	1
98	1	0	1
99	2	1	2
100	2	0	1
101	2	1	4
102	1	0	6
103	1	0	1
104	2	0	2
105	3	0	3
106	2	0	1
107	2	1	2
108	2	1	3
109	1	0	3
110	1	0	9
111	2	1	3
112	2	1	1
113	5	0	1
114	2	0	3
115	2	1	3
116	2	0	1
117	2	1	6
118	2	0	7
119	2	1	7
120	2	0	4
121	2	0	8
122	2	0	1
123	5	1	8
124	2	0	8
125	2	1	7
126	1	0	1
127	2	1	1
128	1	1	7
129	2	0	10
130	2	1	1
131	2	1	4
132	2	1	1
133	2	1	4
134	2	0	3
135	2	0	1
136	1	1	1
137	2	1	7
138	2	1	4
139	1	0	1
140	2	1	7
141	2	1	1
142	1	1	10
143	2	1	8
144	2	0	3
145	2	0	1
146	2	1	6
147	2	1	7
148	2	0	1
149	2	1	9
150	2	0	4
151	2	1	9
152	2	0	9
153	2	0	3
154	2	0	7
155	2	0	6
156	2	0	3
157	1	1	1
158	1	0	7
159	2	0	5
160	2	0	7
161	2	0	7
162	1	1	2
163	3	0	1
164	2	0	5
165	1	0	3
166	2	1	3
167	2	0	7
168	2	1	3
169	1	0	6
170	1	1	8
171	2	1	3
172	2	0	1
173	2	0	6
174	5	0	9
175	2	0	1
176	2	1	9
177	2	0	7
178	7	0	1
179	1	0	1
180	2	0	1
181	2	1	3
182	3	0	1
183	2	0	1
184	2	0	9
185	1	0	1
186	2	1	6
187	2	0	9
188	2	0	3
189	1	1	4
190	2	0	7
191	1	1	5
192	2	1	2
193	2	0	1
194	2	0	4
195	2	0	6
196	2	0	1
197	2	1	9
198	2	1	3
199	1	0	6
200	1	1	6
201	2	0	9
202	2	1	1
203	3	0	9
204	2	0	3
205	2	1	3
